11082977,11082614,11082614,32634148,1,1,false,236891
11093920,11082614,11082614,32650808,9,1,false,231809
11090705,11082614,11082614,32645152,7,1,false,237151
11084666,11082614,11082614,32636502,3,1,false,237036
837403211084666,11082614,11082614,32636564,4,1,false,147119
11083791,11082977,11082614,32635279,2,2,false,147119
11090981,11082614,11082614,32645564,8,1,false,216911
11082614,null,11082614,32633661,0,0,false,147119
11084726,11084666,11082614,32636586,5,2,false,147119
11087321,11082614,11082614,32640261,6,1,false,237217
8902801,8901547,8901463,26775229,6,2,false,8822
8907146,8901547,8901463,26793763,8,2,false,29061
8901547,8901463,8901463,26771646,1,1,false,39668
69219208901547,8901463,8901463,26771669,2,1,false,56581
76851288902924,8901463,8901463,29928753,9,1,false,192971
8902924,8901463,8901463,26775674,7,1,false,7202
8901958,8901547,8901463,26772749,5,2,false,55023
8901463,null,8901463,26771465,0,0,false,39668
8901639,8901463,8901463,26771885,4,1,false,132971
69219318901463,8901463,8901463,26771707,3,1,false,46918
4807141,4806713,4806713,15354472,4,1,false,106909
39077024807141,4806713,4806713,15356147,8,1,false,81030
4807281,4806713,4806713,15354691,6,1,false,36354
39077374807281,4806713,4806713,15356204,9,1,false,81030
39064824806713,4806713,4806713,15353678,1,1,false,97627
39065424806713,4806713,4806713,15353799,2,1,false,102427
4806713,null,4806713,15353623,0,0,false,81030
39067314806713,4806713,4806713,15354247,3,1,false,29492
39068474806713,4806713,4806713,15354483,5,1,false,59816
39070024806713,4806713,4806713,15354780,7,1,false,69170
