id,parent,cascade,timestamp,index,level,hateful,user
45899945638859,5638859,5638859,17432710,1,1,false,66162
5639106,5638859,5638859,17432982,2,1,false,106917
45903315638859,5638859,5638859,17433498,3,1,false,143942
45903535638859,5638859,5638859,17433532,4,1,false,77019
45903815638859,5638859,5638859,17433583,5,1,false,120128
45904165638859,5638859,5638859,17433663,6,1,false,84364
45905035638859,5638859,5638859,17433811,7,1,false,6943
45905435638859,5638859,5638859,17433892,8,1,false,69109
45905765638859,5638859,5638859,17433969,9,1,false,4555
45906295638859,5638859,5638859,17434083,10,1,false,5012
45906405638859,5638859,5638859,17434103,11,1,false,99763
45906535638859,5638859,5638859,17434131,12,1,false,10035
5639768,5638859,5638859,17434234,13,1,false,99763
45911015638859,5638859,5638859,17435339,14,1,false,42105
45923125638859,5638859,5638859,17438633,15,1,false,98545
45924895638859,5638859,5638859,17439068,16,1,false,25681
45925545638859,5638859,5638859,17439222,17,1,false,97627
45930655638859,5638859,5638859,17440599,18,1,false,87992
45933005638859,5638859,5638859,17441133,19,1,false,112310
45935695638859,5638859,5638859,17441917,20,1,false,131670
45937215638859,5638859,5638859,17442408,21,1,false,147217
45941865638859,5638859,5638859,17443640,22,1,false,88733
45942255638859,5638859,5638859,17443753,23,1,false,89851
45952685638859,5638859,5638859,17447269,24,1,false,108936
45954685638859,5638859,5638859,17447880,25,1,false,9364
45955455638859,5638859,5638859,17448081,26,1,false,90099
5645815,5638859,5638859,17448183,27,1,false,90099
5646462,5638859,5638859,17450357,28,1,false,75817
45962785638859,5638859,5638859,17451415,29,1,false,108992
45964085638859,5638859,5638859,17452664,30,1,false,31143
5647059,5638859,5638859,17453082,31,1,false,75817
46013585638859,5638859,5638859,17482770,32,1,false,132168
46084645638859,5638859,5638859,17503558,33,1,false,63804
46091115638859,5638859,5638859,17505179,34,1,false,100917
46250865638859,5638859,5638859,17546706,35,1,false,70913
46250985638859,5638859,5638859,17546762,36,1,false,47895
46265985638859,5638859,5638859,17559176,37,1,false,84228
5638859,null,5638859,17432509,0,0,false,107580
